Date as of,First week,Last week,State,County name,FIPS County Code,Deaths involving COVID-19,Deaths from All Causes
8/26/2020,2/1/2020,8/22/2020,AL,Autauga County,1001,19,287
8/26/2020,2/1/2020,8/22/2020,AL,Baldwin County,1003,38,1183
8/26/2020,2/1/2020,8/22/2020,AL,Butler County,1013,23,136
8/26/2020,2/1/2020,8/22/2020,AL,Calhoun County,1015,36,865
8/26/2020,2/1/2020,8/22/2020,AL,Clay County,1027,13,95
8/26/2020,2/1/2020,8/22/2020,AL,Colbert County,1033,24,355
8/26/2020,2/1/2020,8/22/2020,AL,Covington County,1039,48,325
8/26/2020,2/1/2020,8/22/2020,AL,Crenshaw County,1041,14,120
8/26/2020,2/1/2020,8/22/2020,AL,Cullman County,1043,19,575
8/26/2020,2/1/2020,8/22/2020,AL,Dale County,1045,44,287
8/26/2020,2/1/2020,8/22/2020,AL,Dallas County,1047,33,283
8/26/2020,2/1/2020,8/22/2020,AL,DeKalb County,1049,10,388
8/26/2020,2/1/2020,8/22/2020,AL,Elmore County,1051,29,403
8/26/2020,2/1/2020,8/22/2020,AL,Escambia County,1053,12,209
8/26/2020,2/1/2020,8/22/2020,AL,Etowah County,1055,72,920
8/26/2020,2/1/2020,8/22/2020,AL,Franklin County,1059,12,180
8/26/2020,2/1/2020,8/22/2020,AL,Houston County,1069,142,1143
8/26/2020,2/1/2020,8/22/2020,AL,Jefferson County,1073,405,5579
8/26/2020,2/1/2020,8/22/2020,AL,Lauderdale County,1077,32,794
8/26/2020,2/1/2020,8/22/2020,AL,Lee County,1081,111,750
8/26/2020,2/1/2020,8/22/2020,AL,Limestone County,1083,24,430
8/26/2020,2/1/2020,8/22/2020,AL,Madison County,1089,84,2306
8/26/2020,2/1/2020,8/22/2020,AL,Marengo County,1091,14,146
8/26/2020,2/1/2020,8/22/2020,AL,Marion County,1093,20,232
8/26/2020,2/1/2020,8/22/2020,AL,Marshall County,1095,41,686
8/26/2020,2/1/2020,8/22/2020,AL,Mobile County,1097,295,3058
8/26/2020,2/1/2020,8/22/2020,AL,Montgomery County,1101,266,1856
8/26/2020,2/1/2020,8/22/2020,AL,Morgan County,1103,32,761
8/26/2020,2/1/2020,8/22/2020,AL,Pike County,1109,12,169
8/26/2020,2/1/2020,8/22/2020,AL,St. Clair County,1115,14,454
8/26/2020,2/1/2020,8/22/2020,AL,Shelby County,1117,49,800
8/26/2020,2/1/2020,8/22/2020,AL,Talladega County,1121,10,459
8/26/2020,2/1/2020,8/22/2020,AL,Tallapoosa County,1123,62,327
8/26/2020,2/1/2020,8/22/2020,AL,Tuscaloosa County,1125,149,1333
8/26/2020,2/1/2020,8/22/2020,AL,Walker County,1127,50,585
8/26/2020,2/1/2020,8/22/2020,AL,Washington County,1129,10,79
8/26/2020,2/1/2020,8/22/2020,AK,Anchorage Borough,2020,20,1132
8/26/2020,2/1/2020,8/22/2020,AZ,Apache County,4001,35,268
8/26/2020,2/1/2020,8/22/2020,AZ,Cochise County,4003,24,632
8/26/2020,2/1/2020,8/22/2020,AZ,Coconino County,4005,119,730
8/26/2020,2/1/2020,8/22/2020,AZ,Gila County,4007,24,431
8/26/2020,2/1/2020,8/22/2020,AZ,Graham County,4009,16,189
8/26/2020,2/1/2020,8/22/2020,AZ,Maricopa County,4013,2849,25020
8/26/2020,2/1/2020,8/22/2020,AZ,Mohave County,4015,163,2087
8/26/2020,2/1/2020,8/22/2020,AZ,Navajo County,4017,55,624
8/26/2020,2/1/2020,8/22/2020,AZ,Pima County,4019,649,7240
8/26/2020,2/1/2020,8/22/2020,AZ,Pinal County,4021,67,1588
8/26/2020,2/1/2020,8/22/2020,AZ,Yavapai County,4025,69,1855
8/26/2020,2/1/2020,8/22/2020,AZ,Yuma County,4027,276,1316
8/26/2020,2/1/2020,8/22/2020,AR,Benton County,5007,82,1078
8/26/2020,2/1/2020,8/22/2020,AR,Columbia County,5027,12,156
8/26/2020,2/1/2020,8/22/2020,AR,Craighead County,5031,47,1114
8/26/2020,2/1/2020,8/22/2020,AR,Crittenden County,5035,14,200
8/26/2020,2/1/2020,8/22/2020,AR,Faulkner County,5045,11,573
8/26/2020,2/1/2020,8/22/2020,AR,Garland County,5051,48,1018
8/26/2020,2/1/2020,8/22/2020,AR,Jefferson County,5069,50,542
8/26/2020,2/1/2020,8/22/2020,AR,Little River County,5081,14,96
8/26/2020,2/1/2020,8/22/2020,AR,Newton County,5101,11,61
8/26/2020,2/1/2020,8/22/2020,AR,Pope County,5115,12,385
8/26/2020,2/1/2020,8/22/2020,AR,Pulaski County,5119,158,3646
8/26/2020,2/1/2020,8/22/2020,AR,Sebastian County,5131,38,1248
8/26/2020,2/1/2020,8/22/2020,AR,Union County,5139,17,309
8/26/2020,2/1/2020,8/22/2020,AR,Washington County,5143,86,1340
8/26/2020,2/1/2020,8/22/2020,CA,Alameda County,6001,247,6089
8/26/2020,2/1/2020,8/22/2020,CA,Amador County,6005,17,255
8/26/2020,2/1/2020,8/22/2020,CA,Butte County,6007,21,1231
8/26/2020,2/1/2020,8/22/2020,CA,Contra Costa County,6013,146,4636
8/26/2020,2/1/2020,8/22/2020,CA,Fresno County,6019,231,4558
8/26/2020,2/1/2020,8/22/2020,CA,Imperial County,6025,147,712
8/26/2020,2/1/2020,8/22/2020,CA,Kern County,6029,250,3827
8/26/2020,2/1/2020,8/22/2020,CA,Kings County,6031,91,583
8/26/2020,2/1/2020,8/22/2020,CA,Los Angeles County,6037,4780,42716
8/26/2020,2/1/2020,8/22/2020,CA,Madera County,6039,48,570
8/26/2020,2/1/2020,8/22/2020,CA,Marin County,6041,62,1150
8/26/2020,2/1/2020,8/22/2020,CA,Mendocino County,6045,10,470
8/26/2020,2/1/2020,8/22/2020,CA,Merced County,6047,44,909
8/26/2020,2/1/2020,8/22/2020,CA,Monterey County,6053,38,1538
8/26/2020,2/1/2020,8/22/2020,CA,Napa County,6055,17,731
8/26/2020,2/1/2020,8/22/2020,CA,Orange County,6059,951,12662
8/26/2020,2/1/2020,8/22/2020,CA,Placer County,6061,55,2251
8/26/2020,2/1/2020,8/22/2020,CA,Riverside County,6065,1017,10995
8/26/2020,2/1/2020,8/22/2020,CA,Sacramento County,6067,197,7140
8/26/2020,2/1/2020,8/22/2020,CA,San Bernardino County,6071,782,9467
8/26/2020,2/1/2020,8/22/2020,CA,San Diego County,6073,781,13698
8/26/2020,2/1/2020,8/22/2020,CA,San Francisco County,6075,85,3593
8/26/2020,2/1/2020,8/22/2020,CA,San Joaquin County,6077,269,3382
8/26/2020,2/1/2020,8/22/2020,CA,San Luis Obispo County,6079,19,1308
8/26/2020,2/1/2020,8/22/2020,CA,San Mateo County,6081,139,2729
8/26/2020,2/1/2020,8/22/2020,CA,Santa Barbara County,6083,86,1904
8/26/2020,2/1/2020,8/22/2020,CA,Santa Clara County,6085,217,6485
8/26/2020,2/1/2020,8/22/2020,CA,Shasta County,6089,10,1386
8/26/2020,2/1/2020,8/22/2020,CA,Solano County,6095,60,1993
8/26/2020,2/1/2020,8/22/2020,CA,Sonoma County,6097,55,2467
8/26/2020,2/1/2020,8/22/2020,CA,Stanislaus County,6099,268,3132
8/26/2020,2/1/2020,8/22/2020,CA,Tulare County,6107,206,1911
8/26/2020,2/1/2020,8/22/2020,CA,Ventura County,6111,109,3338
8/26/2020,2/1/2020,8/22/2020,CA,Yolo County,6113,33,675
8/26/2020,2/1/2020,8/22/2020,CO,Adams County,8001,254,2250
8/26/2020,2/1/2020,8/22/2020,CO,Arapahoe County,8005,390,2897
8/26/2020,2/1/2020,8/22/2020,CO,Boulder County,8013,82,1434
8/26/2020,2/1/2020,8/22/2020,CO,Broomfield County,8014,22,202
8/26/2020,2/1/2020,8/22/2020,CO,Chaffee County,8015,17,121
8/26/2020,2/1/2020,8/22/2020,CO,Denver County,8031,308,3295
8/26/2020,2/1/2020,8/22/2020,CO,Douglas County,8035,63,1000
8/26/2020,2/1/2020,8/22/2020,CO,El Paso County,8041,150,3093
8/26/2020,2/1/2020,8/22/2020,CO,Jefferson County,8059,226,2973
8/26/2020,2/1/2020,8/22/2020,CO,Larimer County,8069,52,1530
8/26/2020,2/1/2020,8/22/2020,CO,Mesa County,8077,17,1091
8/26/2020,2/1/2020,8/22/2020,CO,Montrose County,8085,14,247
8/26/2020,2/1/2020,8/22/2020,CO,Morgan County,8087,40,165
8/26/2020,2/1/2020,8/22/2020,CO,Pueblo County,8101,31,1250
8/26/2020,2/1/2020,8/22/2020,CO,Weld County,8123,116,1021
8/26/2020,2/1/2020,8/22/2020,CT,Fairfield County,9001,1399,4640
8/26/2020,2/1/2020,8/22/2020,CT,Hartford County,9003,1367,5603
8/26/2020,2/1/2020,8/22/2020,CT,Litchfield County,9005,130,849
8/26/2020,2/1/2020,8/22/2020,CT,Middlesex County,9007,173,846
8/26/2020,2/1/2020,8/22/2020,CT,New Haven County,9009,1042,5057
8/26/2020,2/1/2020,8/22/2020,CT,New London County,9011,97,1213
8/26/2020,2/1/2020,8/22/2020,CT,Tolland County,9013,46,413
8/26/2020,2/1/2020,8/22/2020,CT,Windham County,9015,12,472
8/26/2020,2/1/2020,8/22/2020,DE,Kent County,10001,103,1110
8/26/2020,2/1/2020,8/22/2020,DE,New Castle County,10003,267,3143
8/26/2020,2/1/2020,8/22/2020,DE,Sussex County,10005,180,1609
8/26/2020,2/1/2020,8/22/2020,DC,District of Columbia,11001,710,4218
8/26/2020,2/1/2020,8/22/2020,FL,Alachua County,12001,109,2155
8/26/2020,2/1/2020,8/22/2020,FL,Bay County,12005,67,1138
8/26/2020,2/1/2020,8/22/2020,FL,Brevard County,12009,198,4509
8/26/2020,2/1/2020,8/22/2020,FL,Broward County,12011,1192,10090
8/26/2020,2/1/2020,8/22/2020,FL,Charlotte County,12015,103,1839
8/26/2020,2/1/2020,8/22/2020,FL,Citrus County,12017,32,1609
8/26/2020,2/1/2020,8/22/2020,FL,Clay County,12019,72,1334
8/26/2020,2/1/2020,8/22/2020,FL,Collier County,12021,168,2304
8/26/2020,2/1/2020,8/22/2020,FL,Columbia County,12023,40,602
8/26/2020,2/1/2020,8/22/2020,FL,Duval County,12031,366,6173
8/26/2020,2/1/2020,8/22/2020,FL,Escambia County,12033,179,2848
8/26/2020,2/1/2020,8/22/2020,FL,Flagler County,12035,22,876
8/26/2020,2/1/2020,8/22/2020,FL,Hendry County,12051,15,120
8/26/2020,2/1/2020,8/22/2020,FL,Hernando County,12053,65,1734
8/26/2020,2/1/2020,8/22/2020,FL,Highlands County,12055,56,1087
8/26/2020,2/1/2020,8/22/2020,FL,Hillsborough County,12057,532,7573
8/26/2020,2/1/2020,8/22/2020,FL,Indian River County,12061,51,1341
8/26/2020,2/1/2020,8/22/2020,FL,Jackson County,12063,34,341
8/26/2020,2/1/2020,8/22/2020,FL,Lake County,12069,117,2502
8/26/2020,2/1/2020,8/22/2020,FL,Lee County,12071,363,4752
8/26/2020,2/1/2020,8/22/2020,FL,Leon County,12073,106,1748
8/26/2020,2/1/2020,8/22/2020,FL,Manatee County,12081,258,2770
8/26/2020,2/1/2020,8/22/2020,FL,Marion County,12083,113,3145
8/26/2020,2/1/2020,8/22/2020,FL,Martin County,12085,147,1285
8/26/2020,2/1/2020,8/22/2020,FL,Miami-Dade County,12086,1865,13970
8/26/2020,2/1/2020,8/22/2020,FL,Monroe County,12087,10,321
8/26/2020,2/1/2020,8/22/2020,FL,Okaloosa County,12091,55,1140
8/26/2020,2/1/2020,8/22/2020,FL,Okeechobee County,12093,12,255
8/26/2020,2/1/2020,8/22/2020,FL,Orange County,12095,436,6125
8/26/2020,2/1/2020,8/22/2020,FL,Osceola County,12097,143,1563
8/26/2020,2/1/2020,8/22/2020,FL,Palm Beach County,12099,829,10236
8/26/2020,2/1/2020,8/22/2020,FL,Pasco County,12101,131,3789
8/26/2020,2/1/2020,8/22/2020,FL,Pinellas County,12103,561,7809
8/26/2020,2/1/2020,8/22/2020,FL,Polk County,12105,363,4479
8/26/2020,2/1/2020,8/22/2020,FL,Putnam County,12107,19,480
8/26/2020,2/1/2020,8/22/2020,FL,St. Johns County,12109,21,1012
8/26/2020,2/1/2020,8/22/2020,FL,St. Lucie County,12111,118,2076
8/26/2020,2/1/2020,8/22/2020,FL,Santa Rosa County,12113,19,680
8/26/2020,2/1/2020,8/22/2020,FL,Sarasota County,12115,181,3712
8/26/2020,2/1/2020,8/22/2020,FL,Seminole County,12117,114,2063
8/26/2020,2/1/2020,8/22/2020,FL,Sumter County,12119,43,1427
8/26/2020,2/1/2020,8/22/2020,FL,Suwannee County,12121,11,208
8/26/2020,2/1/2020,8/22/2020,FL,Volusia County,12127,200,4589
8/26/2020,2/1/2020,8/22/2020,FL,Walton County,12131,18,387
8/26/2020,2/1/2020,8/22/2020,FL,Washington County,12133,14,164
8/26/2020,2/1/2020,8/22/2020,GA,Appling County,13001,13,91
8/26/2020,2/1/2020,8/22/2020,GA,Baldwin County,13009,41,269
8/26/2020,2/1/2020,8/22/2020,GA,Barrow County,13013,19,256
8/26/2020,2/1/2020,8/22/2020,GA,Bartow County,13015,50,583
8/26/2020,2/1/2020,8/22/2020,GA,Bibb County,13021,141,1639
8/26/2020,2/1/2020,8/22/2020,GA,Bulloch County,13031,21,375
8/26/2020,2/1/2020,8/22/2020,GA,Butts County,13035,19,150
8/26/2020,2/1/2020,8/22/2020,GA,Carroll County,13045,52,703
8/26/2020,2/1/2020,8/22/2020,GA,Chatham County,13051,105,2062
8/26/2020,2/1/2020,8/22/2020,GA,Cherokee County,13057,34,761
8/26/2020,2/1/2020,8/22/2020,GA,Clarke County,13059,66,913
