Date as of,First week,Last week,State,County name,FIPS County Code,Deaths involving COVID-19,Deaths from All Causes
7/15/2020,2/1/2020,7/11/2020,AL,Autauga County,1001,11,218
7/15/2020,2/1/2020,7/11/2020,AL,Butler County,1013,18,103
7/15/2020,2/1/2020,7/11/2020,AL,Colbert County,1033,10,273
7/15/2020,2/1/2020,7/11/2020,AL,Covington County,1039,18,232
7/15/2020,2/1/2020,7/11/2020,AL,Elmore County,1051,21,312
7/15/2020,2/1/2020,7/11/2020,AL,Etowah County,1055,14,669
7/15/2020,2/1/2020,7/11/2020,AL,Houston County,1069,55,831
7/15/2020,2/1/2020,7/11/2020,AL,Jefferson County,1073,203,4214
7/15/2020,2/1/2020,7/11/2020,AL,Lee County,1081,68,550
7/15/2020,2/1/2020,7/11/2020,AL,Madison County,1089,14,1764
7/15/2020,2/1/2020,7/11/2020,AL,Mobile County,1097,180,2310
7/15/2020,2/1/2020,7/11/2020,AL,Montgomery County,1101,145,1348
7/15/2020,2/1/2020,7/11/2020,AL,Shelby County,1117,22,605
7/15/2020,2/1/2020,7/11/2020,AL,Tallapoosa County,1123,55,268
7/15/2020,2/1/2020,7/11/2020,AL,Tuscaloosa County,1125,66,983
7/15/2020,2/1/2020,7/11/2020,AZ,Apache County,4001,20,193
7/15/2020,2/1/2020,7/11/2020,AZ,Coconino County,4005,102,575
7/15/2020,2/1/2020,7/11/2020,AZ,Maricopa County,4013,905,17957
7/15/2020,2/1/2020,7/11/2020,AZ,Mohave County,4015,78,1559
7/15/2020,2/1/2020,7/11/2020,AZ,Navajo County,4017,29,459
7/15/2020,2/1/2020,7/11/2020,AZ,Pima County,4019,320,5472
7/15/2020,2/1/2020,7/11/2020,AZ,Pinal County,4021,34,1196
7/15/2020,2/1/2020,7/11/2020,AZ,Yavapai County,4025,14,1396
7/15/2020,2/1/2020,7/11/2020,AZ,Yuma County,4027,115,912
7/15/2020,2/1/2020,7/11/2020,AR,Benton County,5007,36,824
7/15/2020,2/1/2020,7/11/2020,AR,Craighead County,5031,22,845
7/15/2020,2/1/2020,7/11/2020,AR,Jefferson County,5069,34,426
7/15/2020,2/1/2020,7/11/2020,AR,Pulaski County,5119,84,2803
7/15/2020,2/1/2020,7/11/2020,AR,Union County,5139,10,247
7/15/2020,2/1/2020,7/11/2020,AR,Washington County,5143,40,1009
7/15/2020,2/1/2020,7/11/2020,CA,Alameda County,6001,143,4784
7/15/2020,2/1/2020,7/11/2020,CA,Contra Costa County,6013,65,3631
7/15/2020,2/1/2020,7/11/2020,CA,Fresno County,6019,75,3412
7/15/2020,2/1/2020,7/11/2020,CA,Imperial County,6025,64,470
7/15/2020,2/1/2020,7/11/2020,CA,Kern County,6029,64,2842
7/15/2020,2/1/2020,7/11/2020,CA,Kings County,6031,37,425
7/15/2020,2/1/2020,7/11/2020,CA,Los Angeles County,6037,3032,33074
7/15/2020,2/1/2020,7/11/2020,CA,Marin County,6041,18,860
7/15/2020,2/1/2020,7/11/2020,CA,Monterey County,6053,13,1205
7/15/2020,2/1/2020,7/11/2020,CA,Orange County,6059,398,9637
7/15/2020,2/1/2020,7/11/2020,CA,Placer County,6061,23,1743
7/15/2020,2/1/2020,7/11/2020,CA,Riverside County,6065,473,8259
7/15/2020,2/1/2020,7/11/2020,CA,Sacramento County,6067,64,5563
7/15/2020,2/1/2020,7/11/2020,CA,San Bernardino County,6071,284,6975
7/15/2020,2/1/2020,7/11/2020,CA,San Diego County,6073,444,10581
7/15/2020,2/1/2020,7/11/2020,CA,San Francisco County,6075,53,2834
7/15/2020,2/1/2020,7/11/2020,CA,San Joaquin County,6077,50,2509
7/15/2020,2/1/2020,7/11/2020,CA,San Mateo County,6081,114,2176
7/15/2020,2/1/2020,7/11/2020,CA,Santa Barbara County,6083,29,1482
7/15/2020,2/1/2020,7/11/2020,CA,Santa Clara County,6085,153,5102
7/15/2020,2/1/2020,7/11/2020,CA,Solano County,6095,25,1570
7/15/2020,2/1/2020,7/11/2020,CA,Stanislaus County,6099,52,2289
7/15/2020,2/1/2020,7/11/2020,CA,Tulare County,6107,114,1460
7/15/2020,2/1/2020,7/11/2020,CA,Ventura County,6111,51,2583
