Date as of,First week,Last week,State,County name,FIPS County Code,Deaths involving COVID-19,Deaths from All Causes
12/2/2020,2/1/2020,11/28/2020,AK,Anchorage Borough,2020,68,1751
12/2/2020,2/1/2020,11/28/2020,AK,Fairbanks North Star Borough,2090,17,433
12/2/2020,2/1/2020,11/28/2020,AL,Autauga County,1001,33,423
12/2/2020,2/1/2020,11/28/2020,AL,Baldwin County,1003,96,1858
12/2/2020,2/1/2020,11/28/2020,AL,Barbour County,1005,16,229
12/2/2020,2/1/2020,11/28/2020,AL,Bibb County,1007,20,160
12/2/2020,2/1/2020,11/28/2020,AL,Blount County,1009,12,404
12/2/2020,2/1/2020,11/28/2020,AL,Butler County,1013,27,191
12/2/2020,2/1/2020,11/28/2020,AL,Calhoun County,1015,121,1327
12/2/2020,2/1/2020,11/28/2020,AL,Chambers County,1017,11,313
12/2/2020,2/1/2020,11/28/2020,AL,Cherokee County,1019,10,253
12/2/2020,2/1/2020,11/28/2020,AL,Chilton County,1021,19,339
12/2/2020,2/1/2020,11/28/2020,AL,Choctaw County,1023,10,98
12/2/2020,2/1/2020,11/28/2020,AL,Clay County,1027,31,160
12/2/2020,2/1/2020,11/28/2020,AL,Coffee County,1031,18,443
12/2/2020,2/1/2020,11/28/2020,AL,Colbert County,1033,53,543
12/2/2020,2/1/2020,11/28/2020,AL,Covington County,1039,58,481
12/2/2020,2/1/2020,11/28/2020,AL,Crenshaw County,1041,26,164
12/2/2020,2/1/2020,11/28/2020,AL,Cullman County,1043,59,914
12/2/2020,2/1/2020,11/28/2020,AL,Dale County,1045,53,393
12/2/2020,2/1/2020,11/28/2020,AL,Dallas County,1047,50,402
12/2/2020,2/1/2020,11/28/2020,AL,DeKalb County,1049,38,600
12/2/2020,2/1/2020,11/28/2020,AL,Elmore County,1051,37,563
12/2/2020,2/1/2020,11/28/2020,AL,Escambia County,1053,22,320
12/2/2020,2/1/2020,11/28/2020,AL,Etowah County,1055,157,1394
12/2/2020,2/1/2020,11/28/2020,AL,Franklin County,1059,14,254
12/2/2020,2/1/2020,11/28/2020,AL,Geneva County,1061,17,284
12/2/2020,2/1/2020,11/28/2020,AL,Houston County,1069,298,1745
12/2/2020,2/1/2020,11/28/2020,AL,Jackson County,1071,22,540
12/2/2020,2/1/2020,11/28/2020,AL,Jefferson County,1073,769,8500
12/2/2020,2/1/2020,11/28/2020,AL,Lauderdale County,1077,96,1239
12/2/2020,2/1/2020,11/28/2020,AL,Lee County,1081,163,1103
12/2/2020,2/1/2020,11/28/2020,AL,Limestone County,1083,47,699
12/2/2020,2/1/2020,11/28/2020,AL,Madison County,1089,198,3555
12/2/2020,2/1/2020,11/28/2020,AL,Marengo County,1091,17,206
12/2/2020,2/1/2020,11/28/2020,AL,Marion County,1093,27,329
12/2/2020,2/1/2020,11/28/2020,AL,Marshall County,1095,67,1015
12/2/2020,2/1/2020,11/28/2020,AL,Mobile County,1097,491,4605
12/2/2020,2/1/2020,11/28/2020,AL,Montgomery County,1101,394,2727
12/2/2020,2/1/2020,11/28/2020,AL,Morgan County,1103,78,1169
12/2/2020,2/1/2020,11/28/2020,AL,Pike County,1109,17,249
12/2/2020,2/1/2020,11/28/2020,AL,Randolph County,1111,12,179
12/2/2020,2/1/2020,11/28/2020,AL,Russell County,1113,16,333
12/2/2020,2/1/2020,11/28/2020,AL,St. Clair County,1115,47,674
12/2/2020,2/1/2020,11/28/2020,AL,Shelby County,1117,99,1260
12/2/2020,2/1/2020,11/28/2020,AL,Talladega County,1121,45,754
12/2/2020,2/1/2020,11/28/2020,AL,Tallapoosa County,1123,74,466
12/2/2020,2/1/2020,11/28/2020,AL,Tuscaloosa County,1125,274,2040
12/2/2020,2/1/2020,11/28/2020,AL,Walker County,1127,80,872
12/2/2020,2/1/2020,11/28/2020,AL,Washington County,1129,10,107
12/2/2020,2/1/2020,11/28/2020,AL,Winston County,1133,11,237
12/2/2020,2/1/2020,11/28/2020,AR,Baxter County,5005,60,796
12/2/2020,2/1/2020,11/28/2020,AR,Benton County,5007,199,1683
12/2/2020,2/1/2020,11/28/2020,AR,Boone County,5009,37,378
12/2/2020,2/1/2020,11/28/2020,AR,Carroll County,5015,11,181
12/2/2020,2/1/2020,11/28/2020,AR,Chicot County,5017,14,93
12/2/2020,2/1/2020,11/28/2020,AR,Clark County,5019,13,196
12/2/2020,2/1/2020,11/28/2020,AR,Clay County,5021,13,153
12/2/2020,2/1/2020,11/28/2020,AR,Columbia County,5027,22,236
12/2/2020,2/1/2020,11/28/2020,AR,Craighead County,5031,250,1889
12/2/2020,2/1/2020,11/28/2020,AR,Crawford County,5033,10,385
12/2/2020,2/1/2020,11/28/2020,AR,Crittenden County,5035,24,311
12/2/2020,2/1/2020,11/28/2020,AR,Dallas County,5039,10,71
12/2/2020,2/1/2020,11/28/2020,AR,Faulkner County,5045,75,926
12/2/2020,2/1/2020,11/28/2020,AR,Fulton County,5049,13,137
12/2/2020,2/1/2020,11/28/2020,AR,Garland County,5051,149,1566
12/2/2020,2/1/2020,11/28/2020,AR,Greene County,5055,11,327
12/2/2020,2/1/2020,11/28/2020,AR,Hot Spring County,5059,10,249
12/2/2020,2/1/2020,11/28/2020,AR,Howard County,5061,11,127
12/2/2020,2/1/2020,11/28/2020,AR,Independence County,5063,79,482
12/2/2020,2/1/2020,11/28/2020,AR,Jefferson County,5069,109,831
12/2/2020,2/1/2020,11/28/2020,AR,Lawrence County,5075,16,139
12/2/2020,2/1/2020,11/28/2020,AR,Little River County,5081,26,132
12/2/2020,2/1/2020,11/28/2020,AR,Lonoke County,5085,24,402
12/2/2020,2/1/2020,11/28/2020,AR,Mississippi County,5093,24,326
12/2/2020,2/1/2020,11/28/2020,AR,Newton County,5101,13,85
12/2/2020,2/1/2020,11/28/2020,AR,Ouachita County,5103,10,247
12/2/2020,2/1/2020,11/28/2020,AR,Poinsett County,5111,11,147
12/2/2020,2/1/2020,11/28/2020,AR,Polk County,5113,23,176
12/2/2020,2/1/2020,11/28/2020,AR,Pope County,5115,28,567
12/2/2020,2/1/2020,11/28/2020,AR,Pulaski County,5119,428,5560
12/2/2020,2/1/2020,11/28/2020,AR,Randolph County,5121,16,142
12/2/2020,2/1/2020,11/28/2020,AR,Saline County,5125,47,794
12/2/2020,2/1/2020,11/28/2020,AR,Sebastian County,5131,184,2006
12/2/2020,2/1/2020,11/28/2020,AR,Stone County,5137,15,140
12/2/2020,2/1/2020,11/28/2020,AR,Union County,5139,58,486
12/2/2020,2/1/2020,11/28/2020,AR,Washington County,5143,224,2073
12/2/2020,2/1/2020,11/28/2020,AR,White County,5145,65,828
