Date as of,First week,Last week,State,County name,FIPS County Code,Deaths involving COVID-19,Deaths from All Causes
5/1/2020,2/1/2020,4/25/2020,AL,Mobile County,1097,31,"1,142"
5/1/2020,2/1/2020,4/25/2020,AL,Jefferson County,1073,29,"2,136"
5/1/2020,2/1/2020,4/25/2020,AL,Lee County,1081,25,270
5/1/2020,2/1/2020,4/25/2020,AL,Houston County,1069,13,440
5/1/2020,2/1/2020,4/25/2020,AR,Pulaski County,5119,18,"1,498"
5/1/2020,2/1/2020,4/25/2020,AZ,Maricopa County,4013,90,"9,245"
5/1/2020,2/1/2020,4/25/2020,AZ,Pima County,4019,54,"2,814"
5/1/2020,2/1/2020,4/25/2020,AZ,Coconino County,4005,37,296
5/1/2020,2/1/2020,4/25/2020,CA,Los Angeles County,6037,575,"17,416"
5/1/2020,2/1/2020,4/25/2020,CA,San Diego County,6073,92,"5,812"
5/1/2020,2/1/2020,4/25/2020,CA,Santa Clara County,6085,81,"2,891"
5/1/2020,2/1/2020,4/25/2020,CA,Riverside County,6065,79,"4,464"
5/1/2020,2/1/2020,4/25/2020,CA,San Bernardino County,6071,64,"3,640"
5/1/2020,2/1/2020,4/25/2020,CA,Alameda County,6001,49,"2,683"
5/1/2020,2/1/2020,4/25/2020,CA,San Mateo County,6081,38,"1,230"
5/1/2020,2/1/2020,4/25/2020,CA,Orange County,6059,35,"5,242"
5/1/2020,2/1/2020,4/25/2020,CA,Sacramento County,6067,30,"3,029"
5/1/2020,2/1/2020,4/25/2020,CA,San Francisco County,6075,22,"1,568"
5/1/2020,2/1/2020,4/25/2020,CA,Tulare County,6107,20,793
5/1/2020,2/1/2020,4/25/2020,CA,Contra Costa County,6013,19,"2,090"
5/1/2020,2/1/2020,4/25/2020,CA,Ventura County,6111,18,"1,477"
5/1/2020,2/1/2020,4/25/2020,CA,Placer County,6061,14,994
5/1/2020,2/1/2020,4/25/2020,CA,San Joaquin County,6077,14,"1,369"
5/1/2020,2/1/2020,4/25/2020,CO,Arapahoe County,8005,127,"1,275"
5/1/2020,2/1/2020,4/25/2020,CO,Denver County,8031,84,"1,374"
