Date as of,First week,Last week,State,County name,FIPS County Code,Deaths involving COVID-19,Deaths from All Causes
7/22/2020,2/1/2020,7/18/2020,AL,Autauga County,1001,12,230
7/22/2020,2/1/2020,7/18/2020,AL,Butler County,1013,19,112
7/22/2020,2/1/2020,7/18/2020,AL,Colbert County,1033,13,289
7/22/2020,2/1/2020,7/18/2020,AL,Covington County,1039,21,246
7/22/2020,2/1/2020,7/18/2020,AL,Dallas County,1047,14,219
7/22/2020,2/1/2020,7/18/2020,AL,Elmore County,1051,24,340
7/22/2020,2/1/2020,7/18/2020,AL,Etowah County,1055,16,707
7/22/2020,2/1/2020,7/18/2020,AL,Houston County,1069,65,883
7/22/2020,2/1/2020,7/18/2020,AL,Jefferson County,1073,237,4483
7/22/2020,2/1/2020,7/18/2020,AL,Lee County,1081,72,585
7/22/2020,2/1/2020,7/18/2020,AL,Madison County,1089,26,1864
7/22/2020,2/1/2020,7/18/2020,AL,Marshall County,1095,15,537
7/22/2020,2/1/2020,7/18/2020,AL,Mobile County,1097,196,2441
7/22/2020,2/1/2020,7/18/2020,AL,Montgomery County,1101,180,1466
7/22/2020,2/1/2020,7/18/2020,AL,Morgan County,1103,10,611
7/22/2020,2/1/2020,7/18/2020,AL,Shelby County,1117,26,632
7/22/2020,2/1/2020,7/18/2020,AL,Tallapoosa County,1123,56,281
7/22/2020,2/1/2020,7/18/2020,AL,Tuscaloosa County,1125,87,1051
7/22/2020,2/1/2020,7/18/2020,AL,Walker County,1127,21,447
7/22/2020,2/1/2020,7/18/2020,AZ,Apache County,4001,24,214
7/22/2020,2/1/2020,7/18/2020,AZ,Cochise County,4003,14,525
7/22/2020,2/1/2020,7/18/2020,AZ,Coconino County,4005,105,607
7/22/2020,2/1/2020,7/18/2020,AZ,Gila County,4007,10,346
7/22/2020,2/1/2020,7/18/2020,AZ,Maricopa County,4013,1457,19667
7/22/2020,2/1/2020,7/18/2020,AZ,Mohave County,4015,100,1685
7/22/2020,2/1/2020,7/18/2020,AZ,Navajo County,4017,35,498
7/22/2020,2/1/2020,7/18/2020,AZ,Pima County,4019,433,5946
7/22/2020,2/1/2020,7/18/2020,AZ,Pinal County,4021,45,1282
7/22/2020,2/1/2020,7/18/2020,AZ,Yavapai County,4025,36,1515
7/22/2020,2/1/2020,7/18/2020,AZ,Yuma County,4027,179,1035
7/22/2020,2/1/2020,7/18/2020,AR,Benton County,5007,55,893
7/22/2020,2/1/2020,7/18/2020,AR,Craighead County,5031,25,897
7/22/2020,2/1/2020,7/18/2020,AR,Crittenden County,5035,11,159
7/22/2020,2/1/2020,7/18/2020,AR,Jefferson County,5069,36,458
7/22/2020,2/1/2020,7/18/2020,AR,Pulaski County,5119,102,2995
7/22/2020,2/1/2020,7/18/2020,AR,Union County,5139,10,258
7/22/2020,2/1/2020,7/18/2020,AR,Washington County,5143,47,1085
7/22/2020,2/1/2020,7/18/2020,CA,Alameda County,6001,159,5024
7/22/2020,2/1/2020,7/18/2020,CA,Contra Costa County,6013,85,3830
7/22/2020,2/1/2020,7/18/2020,CA,Fresno County,6019,96,3653
7/22/2020,2/1/2020,7/18/2020,CA,Imperial County,6025,83,519
7/22/2020,2/1/2020,7/18/2020,CA,Kern County,6029,103,3043
7/22/2020,2/1/2020,7/18/2020,CA,Kings County,6031,53,455
7/22/2020,2/1/2020,7/18/2020,CA,Los Angeles County,6037,3464,35138
7/22/2020,2/1/2020,7/18/2020,CA,Marin County,6041,24,930
7/22/2020,2/1/2020,7/18/2020,CA,Monterey County,6053,15,1279
7/22/2020,2/1/2020,7/18/2020,CA,Orange County,6059,520,10273
7/22/2020,2/1/2020,7/18/2020,CA,Placer County,6061,24,1872
7/22/2020,2/1/2020,7/18/2020,CA,Riverside County,6065,600,8869
7/22/2020,2/1/2020,7/18/2020,CA,Sacramento County,6067,84,5926
7/22/2020,2/1/2020,7/18/2020,CA,San Bernardino County,6071,379,7475
7/22/2020,2/1/2020,7/18/2020,CA,San Diego County,6073,550,11301
7/22/2020,2/1/2020,7/18/2020,CA,San Francisco County,6075,57,2965
7/22/2020,2/1/2020,7/18/2020,CA,San Joaquin County,6077,76,2662
7/22/2020,2/1/2020,7/18/2020,CA,San Mateo County,6081,121,2296
7/22/2020,2/1/2020,7/18/2020,CA,Santa Barbara County,6083,44,1558
7/22/2020,2/1/2020,7/18/2020,CA,Santa Clara County,6085,164,5440
7/22/2020,2/1/2020,7/18/2020,CA,Solano County,6095,32,1661
7/22/2020,2/1/2020,7/18/2020,CA,Sonoma County,6097,11,2020
7/22/2020,2/1/2020,7/18/2020,CA,Stanislaus County,6099,80,2449
7/22/2020,2/1/2020,7/18/2020,CA,Tulare County,6107,144,1575
7/22/2020,2/1/2020,7/18/2020,CA,Ventura County,6111,65,2767
7/22/2020,2/1/2020,7/18/2020,CA,Yolo County,6113,20,566
7/22/2020,2/1/2020,7/18/2020,CO,Adams County,8001,223,1850
7/22/2020,2/1/2020,7/18/2020,CO,Arapahoe County,8005,368,2464
7/22/2020,2/1/2020,7/18/2020,CO,Boulder County,8013,78,1192
7/22/2020,2/1/2020,7/18/2020,CO,Broomfield County,8014,20,168
7/22/2020,2/1/2020,7/18/2020,CO,Chaffee County,8015,17,105
7/22/2020,2/1/2020,7/18/2020,CO,Denver County,8031,288,2746
7/22/2020,2/1/2020,7/18/2020,CO,Douglas County,8035,59,830
7/22/2020,2/1/2020,7/18/2020,CO,El Paso County,8041,113,2508
7/22/2020,2/1/2020,7/18/2020,CO,Jefferson County,8059,199,2467
7/22/2020,2/1/2020,7/18/2020,CO,Larimer County,8069,42,1243
7/22/2020,2/1/2020,7/18/2020,CO,Montrose County,8085,11,208
7/22/2020,2/1/2020,7/18/2020,CO,Morgan County,8087,38,139
7/22/2020,2/1/2020,7/18/2020,CO,Pueblo County,8101,26,1035
7/22/2020,2/1/2020,7/18/2020,CO,Weld County,8123,112,853
7/22/2020,2/1/2020,7/18/2020,CT,Fairfield County,9001,1319,4096
7/22/2020,2/1/2020,7/18/2020,CT,Hartford County,9003,1290,4816
7/22/2020,2/1/2020,7/18/2020,CT,Litchfield County,9005,123,725
7/22/2020,2/1/2020,7/18/2020,CT,Middlesex County,9007,163,717
7/22/2020,2/1/2020,7/18/2020,CT,New Haven County,9009,987,4367
7/22/2020,2/1/2020,7/18/2020,CT,New London County,9011,94,981
7/22/2020,2/1/2020,7/18/2020,CT,Tolland County,9013,43,327
7/22/2020,2/1/2020,7/18/2020,CT,Windham County,9015,12,398
7/22/2020,2/1/2020,7/18/2020,DE,Kent County,10001,96,899
7/22/2020,2/1/2020,7/18/2020,DE,New Castle County,10003,251,2600
7/22/2020,2/1/2020,7/18/2020,DE,Sussex County,10005,170,1324
7/22/2020,2/1/2020,7/18/2020,DC,District of Columbia,11001,644,3511
7/22/2020,2/1/2020,7/18/2020,FL,Alachua County,12001,42,1721
7/22/2020,2/1/2020,7/18/2020,FL,Brevard County,12009,36,3588
7/22/2020,2/1/2020,7/18/2020,FL,Broward County,12011,499,7879
7/22/2020,2/1/2020,7/18/2020,FL,Charlotte County,12015,71,1510
7/22/2020,2/1/2020,7/18/2020,FL,Citrus County,12017,14,1336
7/22/2020,2/1/2020,7/18/2020,FL,Clay County,12019,27,1059
7/22/2020,2/1/2020,7/18/2020,FL,Collier County,12021,99,1902
7/22/2020,2/1/2020,7/18/2020,FL,Columbia County,12023,11,461
7/22/2020,2/1/2020,7/18/2020,FL,Duval County,12031,109,4879
7/22/2020,2/1/2020,7/18/2020,FL,Escambia County,12033,67,2279
7/22/2020,2/1/2020,7/18/2020,FL,Hendry County,12051,13,99
7/22/2020,2/1/2020,7/18/2020,FL,Hernando County,12053,11,1413
7/22/2020,2/1/2020,7/18/2020,FL,Highlands County,12055,13,864
7/22/2020,2/1/2020,7/18/2020,FL,Hillsborough County,12057,214,6024
7/22/2020,2/1/2020,7/18/2020,FL,Indian River County,12061,13,1103
7/22/2020,2/1/2020,7/18/2020,FL,Lake County,12069,37,1978
7/22/2020,2/1/2020,7/18/2020,FL,Lee County,12071,199,3885
7/22/2020,2/1/2020,7/18/2020,FL,Leon County,12073,36,1399
7/22/2020,2/1/2020,7/18/2020,FL,Manatee County,12081,165,2273
7/22/2020,2/1/2020,7/18/2020,FL,Marion County,12083,17,2497
7/22/2020,2/1/2020,7/18/2020,FL,Martin County,12085,65,1013
7/22/2020,2/1/2020,7/18/2020,FL,Miami-Dade County,12086,1070,11158
7/22/2020,2/1/2020,7/18/2020,FL,Orange County,12095,111,4786
7/22/2020,2/1/2020,7/18/2020,FL,Osceola County,12097,42,1205
7/22/2020,2/1/2020,7/18/2020,FL,Palm Beach County,12099,560,8229
7/22/2020,2/1/2020,7/18/2020,FL,Pasco County,12101,38,3094
7/22/2020,2/1/2020,7/18/2020,FL,Pinellas County,12103,278,6307
7/22/2020,2/1/2020,7/18/2020,FL,Polk County,12105,156,3574
7/22/2020,2/1/2020,7/18/2020,FL,St. Lucie County,12111,42,1677
7/22/2020,2/1/2020,7/18/2020,FL,Sarasota County,12115,91,3043
7/22/2020,2/1/2020,7/18/2020,FL,Seminole County,12117,19,1647
7/22/2020,2/1/2020,7/18/2020,FL,Volusia County,12127,80,3789
7/22/2020,2/1/2020,7/18/2020,FL,Washington County,12133,10,135
7/22/2020,2/1/2020,7/18/2020,GA,Appling County,13001,12,71
7/22/2020,2/1/2020,7/18/2020,GA,Baldwin County,13009,37,217
7/22/2020,2/1/2020,7/18/2020,GA,Barrow County,13013,18,217
7/22/2020,2/1/2020,7/18/2020,GA,Bartow County,13015,33,466
7/22/2020,2/1/2020,7/18/2020,GA,Bibb County,13021,70,1330
7/22/2020,2/1/2020,7/18/2020,GA,Butts County,13035,18,128
7/22/2020,2/1/2020,7/18/2020,GA,Carroll County,13045,39,545
7/22/2020,2/1/2020,7/18/2020,GA,Chatham County,13051,51,1676
7/22/2020,2/1/2020,7/18/2020,GA,Cherokee County,13057,26,593
7/22/2020,2/1/2020,7/18/2020,GA,Clarke County,13059,37,752
7/22/2020,2/1/2020,7/18/2020,GA,Clayton County,13063,32,615
7/22/2020,2/1/2020,7/18/2020,GA,Cobb County,13067,225,2569
7/22/2020,2/1/2020,7/18/2020,GA,Coffee County,13069,18,185
7/22/2020,2/1/2020,7/18/2020,GA,Colquitt County,13071,18,259
7/22/2020,2/1/2020,7/18/2020,GA,Coweta County,13077,14,447
7/22/2020,2/1/2020,7/18/2020,GA,Crisp County,13081,16,160
7/22/2020,2/1/2020,7/18/2020,GA,DeKalb County,13089,145,2307
7/22/2020,2/1/2020,7/18/2020,GA,Dougherty County,13095,155,742
7/22/2020,2/1/2020,7/18/2020,GA,Douglas County,13097,13,380
7/22/2020,2/1/2020,7/18/2020,GA,Early County,13099,14,67
7/22/2020,2/1/2020,7/18/2020,GA,Fayette County,13113,46,513
7/22/2020,2/1/2020,7/18/2020,GA,Floyd County,13115,28,737
7/22/2020,2/1/2020,7/18/2020,GA,Forsyth County,13117,23,714
7/22/2020,2/1/2020,7/18/2020,GA,Fulton County,13121,328,4167
